,Unnamed: 0,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label
2644,2644,88449,31892,0.0,0.0,3168.0,114.0,0.0,0
1760,1760,195075,31892,0.0,0.0,1650.0,91.0,0.0,0
68,68,54507,54508,4.52524076589683,14.0,738.0,45.0,0.0,1
1343,1343,226480,31892,0.0,0.0,990.0,81.0,0.0,0
5801,5801,140839,31892,0.0,0.0,396.0,72.0,0.0,0
3137,3137,77626,31892,0.0,0.0,594.0,75.0,0.0,0
3887,3887,45754,45758,1.94966013118434,4.0,25.0,6.0,1.0,1
3612,3612,56136,56138,4.9829616658830895,15.0,368.0,24.0,0.0,1
327,327,76392,31891,0.0,0.0,18.0,9.0,0.0,0
458,458,45663,76391,2.3163175997826,5.0,366.0,62.0,0.0,1
1913,1913,34466,65525,6.7506667064954105,23.0,20295.0,625.0,0.0,1
5072,5072,144600,31892,0.0,0.0,528.0,74.0,0.0,0
4524,4524,42703,56815,6.44648109473117,22.0,1088.0,44.0,0.97029702970297,1
5235,5235,160237,31892,0.0,0.0,594.0,75.0,0.0,0
5061,5061,32435,47133,3.6477135935830702,8.0,342.0,29.0,0.0,1
1233,1233,45721,31892,0.0,0.0,264.0,70.0,0.0,0
401,401,45662,45664,2.35188364286526,5.0,360.0,34.0,0.0,1
5560,5560,216448,31892,0.0,0.0,2376.0,102.0,0.0,0
2051,2051,128025,31892,0.169494474237384,1.0,594.0,74.0,0.0,0
4846,4846,109871,31892,0.0,0.0,2508.0,104.0,0.0,0
2539,2539,75592,75605,9.5890865489185,36.0,2132.0,57.0,0.0,1
5495,5495,102288,31891,0.0,0.0,63.0,24.0,0.0,0
4904,4904,261293,31892,0.169494474237384,1.0,330.0,70.0,0.0,0
272,272,151200,31892,0.0,0.0,264.0,70.0,0.0,0
3470,3470,68397,68398,1.2291682155306398,2.0,9.0,4.0,1.0,1
5238,5238,56767,56768,3.17469056212469,7.0,64.0,9.0,0.0,1
4309,4309,94336,31892,0.0,0.0,726.0,77.0,0.0,0
2980,2980,98331,31892,0.0,0.0,1914.0,95.0,0.0,0
1537,1537,47596,77878,3.64095690650735,8.0,256.0,24.0,0.0,1
1094,1094,143128,31892,0.0,0.0,528.0,74.0,0.0,0
308,308,71867,71872,1.82047845325367,2.0,21.0,8.0,0.0,1
1164,1164,180787,31892,0.0,0.0,1584.0,90.0,0.0,0
3265,3265,73221,73223,3.87583940241045,10.0,121.0,12.0,0.0,1
4336,4336,73869,73872,4.49552894849284,13.0,196.0,15.0,0.0,1
1346,1346,235342,31892,0.169494474237384,1.0,792.0,77.0,0.0,0
586,586,60801,31891,0.0,0.0,27.0,12.0,0.0,0
5123,5123,41829,41837,5.58584426147805,17.0,414.0,24.0,0.0,1
1791,1791,67058,67070,10.8210390119624,41.0,1890.0,46.0,0.0,1
891,891,90334,31891,0.0,0.0,57.0,22.0,0.0,0
4907,4907,154485,31892,0.0,0.0,990.0,81.0,0.0,0
4522,4522,74246,31892,0.0,0.0,2178.0,99.0,0.0,0
4295,4295,67053,67064,11.884756458961801,44.0,2025.0,46.0,0.0,1
808,808,162638,31892,0.0,0.0,726.0,77.0,0.0,0
4153,4153,58383,67051,2.40494003332422,6.0,380.0,33.0,0.0,1
1563,1563,179723,31892,0.0,0.0,1188.0,84.0,0.0,0
1650,1650,38447,59546,4.62678550664479,13.0,5475.0,367.0,0.0,1
5120,5120,41620,41621,2.48533973823845,4.0,25.0,6.0,0.0,1
