,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label
0,73271,73273,3.06544801074804,7.0,104.0,14.0,0.0,1
1,67992,69995,3.99358278523798,10.0,176.0,17.0,0.0,1
2,217143,32275,0.0,0.0,272.0,33.0,0.0,0
3,43062,32275,0.0,0.0,112.0,23.0,0.0,0
4,65045,31892,0.0,0.0,198.0,69.0,0.0,0
5,47023,74017,3.8203321114872097,9.0,920.0,93.0,0.0,1
6,128022,31892,0.169494474237384,1.0,594.0,74.0,0.0,0
7,117453,32128,0.345976256261194,1.0,48.0,13.0,0.0,0
8,69898,74937,5.75688298312443,15.0,1408.0,71.0,0.0,1
9,34066,60140,3.58519099830255,10.0,781.0,72.0,0.0,1
10,147954,31892,0.36067376022224107,1.0,264.0,69.0,0.0,0
11,88731,88735,8.52640901006098,29.0,900.0,31.0,0.0,1
12,67076,67080,10.8161899365572,41.0,1764.0,43.0,0.0,1
13,32964,32972,5.32434022085387,15.0,256.0,17.0,0.0,1
14,67155,67156,2.48533973823845,4.0,25.0,6.0,0.0,1
15,59412,31892,0.0,0.0,1122.0,83.0,0.0,0
16,67560,31892,0.169494474237384,1.0,2442.0,102.0,0.0,0
17,243050,31891,0.0,0.0,24.0,11.0,0.0,0
18,68241,68242,3.648549901791681,9.0,150.0,16.0,0.0,1
19,90109,90115,5.88159635644029,17.0,324.0,19.0,0.0,1
20,78402,78409,4.19340581672441,10.0,132.0,13.0,0.0,1
21,43668,31892,0.169494474237384,1.0,594.0,74.0,0.0,0
22,42072,42074,3.3826920033150096,11.0,456.0,39.0,0.0,1
23,38447,89489,7.83078640236026,27.0,14600.0,378.0,0.0,1
24,90057,90059,4.92600136196937,13.0,196.0,15.0,0.0,1
25,88113,88121,3.47164266186517,9.0,130.0,14.0,0.567741935483871,1
26,54569,31891,0.0,0.0,69.0,26.0,0.0,0
27,40468,40473,3.5116433461144503,9.0,340.0,35.0,0.0,1
28,145763,31891,0.0,0.0,12.0,7.0,0.0,0
29,44779,44782,1.72175035416459,3.0,16.0,5.0,1.0,1
30,81357,81360,5.41010640333361,15.0,256.0,17.0,0.0,1
31,41548,81641,1.5315741611864495,2.0,63.0,22.0,0.0,1
32,39949,73512,9.29655969235229,36.0,1628.0,45.0,0.0,1
33,106232,31891,0.0,0.0,75.0,28.0,0.0,0
34,35887,49336,2.32802730285223,8.0,1564.0,101.0,0.0,1
35,57016,57019,1.5734722507909298,3.0,24.0,7.0,0.0,1
36,43186,89253,4.78683737734366,16.0,4935.0,136.0,0.0,1
37,228100,31929,0.0,0.0,340.0,44.0,0.0,0
38,204363,31942,0.294014103795206,1.0,161.0,29.0,0.0,0
39,88111,88115,3.57184832116532,9.0,286.0,28.0,0.0,1
40,74417,74424,3.7176131365342795,9.0,100.0,11.0,0.0,1
41,120941,32275,0.0,0.0,256.0,32.0,0.0,0
42,124274,31908,0.0,0.0,171.0,28.0,0.0,0
43,66036,31892,1.09480540890609,4.0,1056.0,78.0,0.0,0
44,114016,32275,0.0,0.0,304.0,35.0,0.0,0
45,69328,69330,2.1924635424318897,4.0,105.0,22.0,0.0,1
46,77138,77141,3.838099254493621,10.0,121.0,12.0,0.0,1
47,82596,82601,3.29516573260446,11.0,348.0,30.0,0.0,1
48,67589,67592,2.48533973823845,4.0,25.0,6.0,0.0,1
49,71269,71270,3.56049146692805,13.0,760.0,45.0,0.0,1
50,88423,88424,2.13998579204395,4.0,48.0,10.0,0.0,1
51,211715,31891,0.0,0.0,54.0,21.0,0.0,0
52,75029,83740,3.3662884287409103,7.0,232.0,30.0,1.0,1
53,75029,83740,3.3662884287409103,7.0,232.0,30.0,1.0,1
54,62959,32275,0.44307567196697295,2.0,2224.0,153.0,0.0,0
55,118130,32275,0.281266414062728,1.0,48.0,18.0,0.0,0
56,53604,53607,4.28469610509728,11.0,144.0,13.0,0.0,1
57,114020,32275,0.0,0.0,256.0,32.0,0.0,0
58,67744,67747,4.05026572719159,10.0,418.0,39.0,0.0,1
59,34466,61599,2.7260222505137204,8.0,6150.0,617.0,0.0,1
60,83009,83019,3.90865033712927,9.0,100.0,11.0,0.0,1
61,90062,90068,4.92600136196937,13.0,196.0,15.0,0.0,1
62,226371,31892,0.0,0.0,594.0,75.0,0.0,0
63,79404,31892,0.0,0.0,1650.0,91.0,0.0,0
64,73146,73148,2.38816639625895,5.0,36.0,7.0,0.0,1
65,98347,31892,0.0,0.0,1914.0,95.0,0.0,0
66,118084,31891,0.0,0.0,84.0,31.0,0.0,0
67,82370,82392,7.8579433306636925,26.0,729.0,28.0,0.0,1
68,243430,31892,0.0,0.0,1254.0,85.0,0.0,0
69,250139,31929,0.0,0.0,646.0,53.0,0.0,0
70,238504,31891,0.0,0.0,54.0,21.0,0.0,0
71,66034,31892,1.6213178847786498,6.0,1386.0,81.0,0.0,0
72,73321,73322,4.00168773231342,13.0,252.0,19.0,0.0,1
73,256968,31908,0.0,0.0,133.0,26.0,0.0,0
74,67996,69994,3.93722415403597,10.0,121.0,12.0,0.0,1
75,53262,53265,2.48533973823845,4.0,115.0,24.0,0.0,1
76,127504,32275,0.0,0.0,640.0,56.0,0.0,0
77,81843,81844,1.8375687735469801,3.0,16.0,5.0,1.0,1
78,81843,81844,1.8375687735469801,3.0,16.0,5.0,1.0,1
79,60481,75449,4.110690275301621,12.0,638.0,39.0,0.0,1
80,147003,31929,0.294014103795206,1.0,238.0,40.0,0.0,0
81,180686,31891,0.0,0.0,21.0,10.0,0.0,0
82,239786,31892,0.0,0.0,858.0,79.0,0.0,0
83,129898,31891,0.0,0.0,42.0,17.0,0.0,0
84,73312,73320,4.10342465189864,13.0,840.0,61.0,0.0,1
85,45332,31892,0.0,0.0,1188.0,84.0,0.0,0
86,182284,31892,0.169494474237384,1.0,660.0,75.0,0.0,0
87,45564,61347,3.4377079419456296,8.0,315.0,36.0,0.0,1
88,41830,41834,5.56514997848675,17.0,342.0,20.0,0.0,1
89,160335,31891,0.0,0.0,39.0,16.0,0.0,0
90,162156,31892,0.7697243502066441,3.0,462.0,70.0,0.0,0
91,63336,63339,2.4791538629330896,6.0,350.0,51.0,0.0,1
92,203609,31892,0.0,0.0,330.0,71.0,0.0,0
93,113884,32130,1.64885970197095,4.0,42.0,9.0,0.0,0
94,251949,31929,0.294014103795206,1.0,238.0,40.0,0.0,0
95,59487,59491,3.26610307159666,10.0,143.0,14.0,0.0,1
96,59529,59530,5.03781135947113,12.0,221.0,18.0,0.0,1
97,264482,31907,0.0,0.0,114.0,25.0,0.0,0
98,106115,31892,0.281266414062728,1.0,198.0,68.0,0.0,0
99,68605,68607,1.44269504088896,1.0,12.0,7.0,1.0,1
100,35814,31892,0.233075271708509,1.0,10098.0,218.0,0.0,0
101,73874,31907,0.0,0.0,266.0,33.0,0.0,0
102,130766,31892,0.169494474237384,1.0,264.0,69.0,0.0,0
103,42426,70926,2.93980538548858,8.0,405.0,46.0,0.0,1
104,49603,31892,0.0,0.0,264.0,70.0,0.0,0
105,86929,32275,0.303413075542279,1.0,160.0,25.0,0.0,0
106,194928,31892,0.0,0.0,924.0,80.0,0.0,0
107,115805,31892,0.0,0.0,1254.0,85.0,0.0,0
108,239191,31892,0.0,0.0,726.0,77.0,0.0,0
109,206200,31892,0.0,0.0,528.0,74.0,0.0,0
110,144286,31892,0.0,0.0,396.0,72.0,0.0,0
111,143427,31892,0.0,0.0,990.0,81.0,0.0,0
112,206746,31892,0.0,0.0,1254.0,85.0,0.0,0
113,37416,37417,5.52689894665782,16.0,5084.0,149.0,0.0,1
114,78477,78494,4.17032391424246,10.0,121.0,12.0,1.0,1
115,45598,31892,0.0,0.0,1056.0,82.0,0.0,0
116,153044,31892,0.0,0.0,264.0,70.0,0.0,0
117,203485,31892,0.0,0.0,594.0,75.0,0.0,0
118,53375,53377,4.1690642165490095,13.0,196.0,15.0,0.0,1
119,159876,31892,0.0,0.0,1386.0,87.0,0.0,0
120,44803,31907,0.267546386419054,1.0,342.0,36.0,0.0,0
121,57165,57167,3.3662884287409103,7.0,64.0,9.0,0.0,1
122,43887,60140,1.51404521002466,5.0,4686.0,132.0,0.0,1
123,45529,45531,5.16977122296397,14.0,225.0,16.0,0.0,1
124,41202,41221,5.69908134939062,18.0,475.0,26.0,0.508021390374332,1
125,73875,31908,0.0,0.0,1159.0,80.0,0.0,0
126,51923,82598,11.9477720472998,43.0,3476.0,80.0,0.0,1
127,195068,31892,0.0,0.0,1782.0,93.0,0.0,0
128,37154,69835,2.48533973823845,4.0,40.0,9.0,0.0,1
129,43883,52547,1.90555676462392,7.0,686.0,56.0,0.0,1
130,92587,31907,0.0,0.0,399.0,40.0,0.0,0
131,67077,67087,10.8161899365572,41.0,1764.0,43.0,0.0,1
132,35262,35265,3.2631734941426402,3.0,16.0,5.0,1.0,1
133,35262,35265,3.2631734941426402,3.0,16.0,5.0,1.0,1
134,204366,31942,0.294014103795206,1.0,161.0,29.0,0.0,0
135,138499,31891,0.23868315209103,1.0,21.0,9.0,0.0,0
136,146678,32275,0.0,0.0,192.0,28.0,0.0,0
137,221085,31929,0.0,0.0,782.0,57.0,0.0,0
138,80807,80820,6.69550904663308,24.0,775.0,32.0,0.0,1
139,110225,31907,0.0,0.0,779.0,60.0,0.0,0
140,178789,31892,0.0,0.0,1782.0,93.0,0.0,0
141,81612,31892,0.0,0.0,858.0,79.0,0.0,0
142,49313,32275,0.0,0.0,80.0,21.0,0.0,0
143,116506,31892,0.0,0.0,792.0,78.0,0.0,0
144,203059,31892,0.0,0.0,2376.0,102.0,0.0,0
145,251670,31892,0.0,0.0,594.0,75.0,0.0,0
146,77235,77237,3.83502961544825,9.0,100.0,11.0,0.0,1
147,243427,31892,0.0,0.0,1254.0,85.0,0.0,0
148,84409,84411,2.7905531327562403,5.0,36.0,7.0,1.0,1
149,108921,32275,0.0,0.0,272.0,33.0,0.0,0
150,95298,31892,0.169494474237384,1.0,1122.0,82.0,0.0,0
151,48583,50724,2.87600639191185,10.0,451.0,42.0,0.31301939058171696,1
152,233063,31908,0.30010162850041305,1.0,114.0,24.0,0.0,0
153,88724,88742,8.52640901006098,29.0,900.0,31.0,0.0,1
154,174352,32275,0.0,0.0,208.0,29.0,0.0,0
155,211710,31892,0.0,0.0,1188.0,84.0,0.0,0
156,53347,53352,3.0847774351317696,9.0,100.0,11.0,0.0,1
157,168916,31891,0.0,0.0,81.0,30.0,0.0,0
158,274243,31929,0.0,0.0,646.0,53.0,0.0,0
159,96604,31908,0.0,0.0,95.0,24.0,0.0,0
160,87733,87734,3.3941936894938904,11.0,144.0,13.0,0.0,1
161,127910,31892,0.0,0.0,1056.0,82.0,0.0,0
162,83807,83811,2.68556104338665,7.0,64.0,9.0,1.0,1
163,73871,73876,4.5406439294874605,13.0,280.0,21.0,0.0,1
164,49232,50633,3.39959731125556,9.0,310.0,32.0,0.0,1
165,92360,92370,5.87635207576488,19.0,400.0,21.0,0.0,1
