,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label
0,39587,39601,4.6565588158927,12.0,260.0,21.0,0.0,1
1,38006,38015,4.67845494301536,12.0,169.0,14.0,0.0,1
2,36709,36711,3.8532790369159597,9.0,100.0,11.0,0.0,1
3,175366,31891,0.0,0.0,33.0,14.0,0.0,0
4,40308,40310,2.7905531327562403,5.0,60.0,11.0,0.0,1
5,33285,33287,2.51668896077654,5.0,36.0,7.0,0.0,1
6,72456,31891,0.0,0.0,183.0,64.0,0.0,0
7,35781,35785,1.44269504088896,1.0,4.0,3.0,0.0,1
8,35128,35130,1.7304579969148701,4.0,100.0,21.0,0.0,1
9,176385,31891,0.23868315209103,1.0,36.0,14.0,0.0,0
10,41204,41213,5.751431049863089,18.0,912.0,49.0,0.0,1
11,111302,31891,0.0,0.0,69.0,26.0,0.0,0
12,39591,39602,4.61144383489809,12.0,182.0,15.0,0.0,1
13,243053,31891,0.0,0.0,39.0,16.0,0.0,0
14,37516,37521,4.261856799493,11.0,192.0,17.0,0.0,1
15,37510,37515,4.32851645592004,11.0,360.0,31.0,0.0,1
16,130765,31891,0.0,0.0,12.0,7.0,0.0,0
17,54775,31891,0.0,0.0,78.0,29.0,0.0,0
18,40012,41208,4.07656105463181,11.0,2030.0,88.0,0.0,1
19,176386,31891,0.23868315209103,1.0,36.0,14.0,0.0,0
20,269509,31891,0.23868315209103,1.0,60.0,22.0,0.0,0
21,39594,39599,4.60049577133676,12.0,169.0,14.0,0.0,1
22,36195,36198,3.33101563612743,9.0,165.0,17.0,0.0,1
23,37656,37657,2.51105596593884,5.0,36.0,7.0,0.0,1
24,104014,31891,0.0,0.0,24.0,11.0,0.0,0
25,31891,31892,1.17778561304589,2.0,198.0,67.0,0.0,1
26,175362,31891,0.0,0.0,33.0,14.0,0.0,0
27,41212,41216,5.75412659803509,18.0,950.0,51.0,0.0,1
28,240934,31891,0.506229538510084,2.0,33.0,12.0,0.0,0
29,238504,31891,0.0,0.0,54.0,21.0,0.0,0
30,39594,39596,4.60049577133676,12.0,169.0,14.0,0.0,1
31,41206,41210,5.79938150274611,18.0,2204.0,117.0,0.0,1
32,37646,37655,2.51105596593884,5.0,36.0,7.0,1.0,1
33,41204,41208,9.58500354974784,28.0,1392.0,49.0,0.0,1
34,41421,41422,1.36535883994026,3.0,52.0,14.0,0.0,1
35,35034,35036,2.16404256133344,3.0,16.0,5.0,0.0,1
36,75595,31891,0.0,0.0,456.0,155.0,0.0,0
37,204866,31891,0.0,0.0,42.0,17.0,0.0,0
38,35717,35719,1.99247409467951,5.0,60.0,11.0,1.0,1
39,35717,35719,1.99247409467951,5.0,60.0,11.0,1.0,1
40,34087,34089,1.82047845325367,2.0,9.0,4.0,0.0,1
41,269889,31891,0.267546386419054,1.0,45.0,17.0,0.0,0
42,32151,32155,2.16404256133344,3.0,16.0,5.0,0.0,1
43,32956,32972,5.32434022085387,15.0,256.0,17.0,1.0,1
44,41207,41219,5.67012554477531,18.0,361.0,20.0,0.0,1
45,38156,38164,4.15089991748027,11.0,144.0,13.0,0.0,1
46,238503,31891,0.0,0.0,42.0,17.0,0.0,0
47,32390,38668,2.64176484249153,6.0,126.0,19.0,0.0,1
48,269893,31891,0.267546386419054,1.0,45.0,17.0,0.0,0
49,36979,31891,0.267546386419054,1.0,84.0,30.0,0.0,0
50,226555,31891,0.0,0.0,12.0,7.0,0.0,0
51,102978,31891,0.0,0.0,12.0,7.0,0.0,0
