,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label
0,65868,65871,6.963381352654671,22.0,529.0,24.0,0.0,1
1,75593,75599,9.55757813944249,36.0,1369.0,38.0,0.0,1
2,201829,31892,0.0,0.0,858.0,79.0,0.0,0
3,39747,39756,4.45671786674266,12.0,169.0,14.0,1.0,1
4,90774,90777,10.2778293599515,25.0,884.0,35.0,0.7727272727272729,1
5,204036,31892,0.0,0.0,924.0,80.0,0.0,0
6,63026,63027,1.4015579505396798,3.0,16.0,5.0,1.0,1
7,63026,63027,1.4015579505396798,3.0,16.0,5.0,1.0,1
8,100596,100598,2.16404256133344,3.0,16.0,5.0,0.0,1
9,62706,62711,3.07647328078867,7.0,80.0,11.0,0.0,1
10,56268,56270,2.74754588200139,6.0,427.0,62.0,0.0,1
11,65523,79195,5.22374108683398,15.0,704.0,45.0,0.0,1
12,83052,31892,0.169494474237384,1.0,1452.0,87.0,0.0,0
13,77293,77295,3.27526132702921,7.0,64.0,9.0,0.0,1
14,69570,69573,4.983836916241192,14.0,270.0,19.0,0.0,1
15,169573,31892,0.0,0.0,990.0,81.0,0.0,0
16,94656,32390,0.0,0.0,288.0,34.0,0.0,0
17,120973,31942,0.294014103795206,1.0,161.0,29.0,0.0,0
18,222476,32275,0.0,0.0,128.0,24.0,0.0,0
19,82379,82387,7.8579433306636925,26.0,729.0,28.0,0.0,1
20,37600,89026,3.3967441000262304,11.0,408.0,35.0,0.0,1
21,44990,104470,10.3559626091551,34.0,2765.0,80.0,0.0,1
22,52680,74420,3.7176131365342795,9.0,100.0,11.0,0.0,1
23,146635,32431,0.0,0.0,560.0,48.0,0.0,0
24,97474,103090,2.30364066145881,4.0,315.0,32.0,0.0,1
25,100400,100408,3.0833900542185004,6.0,49.0,8.0,1.0,1
26,101209,31892,0.0,0.0,792.0,78.0,0.0,0
27,176395,31891,0.23868315209103,1.0,36.0,14.0,0.0,0
28,219504,31892,0.0,0.0,858.0,79.0,0.0,0
29,38447,92888,1.1907190711244198,3.0,4745.0,375.0,0.0,1
30,103206,103210,10.8410734288556,41.0,1764.0,43.0,0.0,1
31,103010,103015,2.00080566744021,3.0,24.0,7.0,0.0,1
32,100453,100458,2.776059407604,7.0,64.0,9.0,0.0,1
33,65535,31892,0.0,0.0,6072.0,158.0,0.0,0
34,178959,31892,0.169494474237384,1.0,198.0,68.0,0.0,0
35,43024,31892,0.169494474237384,1.0,1188.0,83.0,0.0,0
36,63024,31892,0.0,0.0,990.0,81.0,0.0,0
37,110028,31892,0.0,0.0,594.0,75.0,0.0,0
38,132601,31892,0.0,0.0,594.0,75.0,0.0,0
39,75584,75616,9.55757813944249,36.0,1369.0,38.0,0.0,1
40,59859,59861,1.61512725727851,5.0,154.0,24.0,0.0,1
41,106914,106917,2.5784187624661805,5.0,72.0,13.0,0.0,1
