,Unnamed: 0,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label
3318,3318,153064,31891,0.0,0.0,78.0,29.0,0.0,0
4493,4493,146949,31892,0.0,0.0,594.0,75.0,0.0,0
10309,10309,167591,31892,0.0,0.0,528.0,74.0,0.0,0
6465,6465,44513,44518,2.986524103273,6.0,63.0,10.0,0.0,1
1907,1907,44875,44878,3.1724723392297705,8.0,81.0,10.0,0.0,1
4701,4701,75961,32390,0.0,0.0,918.0,69.0,0.0,0
1403,1403,82482,82489,6.97048034640586,22.0,529.0,24.0,0.0,1
6237,6237,97321,97324,2.16404256133344,3.0,16.0,5.0,1.0,1
1048,1048,52547,31892,0.0,0.0,924.0,80.0,0.0,0
10169,10169,240507,31908,0.259730302172272,1.0,266.0,32.0,0.0,0
12340,12340,96777,101395,5.43392378287616,18.0,1972.0,79.0,0.0,1
8708,8708,94288,94290,3.24606067509993,8.0,81.0,10.0,0.0,1
12005,12005,98336,32390,0.0,0.0,522.0,47.0,0.0,0
4270,4270,114027,31908,0.0,0.0,475.0,44.0,0.0,0
10131,10131,61048,105103,7.132620220406411,23.0,672.0,29.0,0.0,1
7309,7309,95981,95988,2.16404256133344,3.0,24.0,7.0,1.0,1
11349,11349,99236,99237,7.59978568208184,25.0,676.0,27.0,0.0,1
1988,1988,39995,42295,2.16404256133344,3.0,76.0,20.0,0.0,1
2268,2268,105721,105723,9.349539829410539,35.0,1296.0,37.0,0.0,1
10679,10679,135108,32390,0.0,0.0,108.0,24.0,0.0,0
9394,9394,60903,31892,0.254334778144042,1.0,1716.0,91.0,0.0,0
3015,3015,205743,32275,0.0,0.0,64.0,20.0,0.0,0
867,867,57362,31892,0.0,0.0,1188.0,84.0,0.0,0
8498,8498,45659,31892,0.0,0.0,396.0,72.0,0.0,0
10523,10523,59007,59015,4.82003660068881,13.0,644.0,47.0,0.0,1
5660,5660,69952,70079,4.33824456663355,12.0,286.0,23.0,0.0,1
7670,7670,93939,93942,2.4406014611072204,5.0,36.0,7.0,0.0,1
10447,10447,38813,38815,2.3418847763836803,6.0,49.0,8.0,0.0,1
7603,7603,98302,32431,0.0,0.0,1176.0,70.0,0.0,0
713,713,50395,32275,0.0,0.0,256.0,32.0,0.0,0
10488,10488,42698,32431,0.0,0.0,3444.0,151.0,0.0,0
3704,3704,43974,43976,2.06402997544858,3.0,16.0,5.0,1.0,1
2332,2332,42316,32275,0.0,0.0,112.0,23.0,0.0,0
8079,8079,59253,32390,0.183741868630683,1.0,288.0,33.0,0.0,0
5991,5991,41938,31892,0.169494474237384,1.0,1584.0,89.0,0.0,0
3958,3958,63339,99510,4.5031347686113,13.0,700.0,51.0,0.0,1
9025,9025,71563,97474,1.5711286078722702,3.0,285.0,31.0,0.0,1
12527,12527,64277,32390,0.0,0.0,486.0,45.0,0.0,0
9657,9657,41031,41035,3.56476047488388,8.0,81.0,10.0,0.0,1
2656,2656,201039,31892,0.0,0.0,528.0,74.0,0.0,0
10184,10184,82982,31930,0.0,0.0,104.0,30.0,0.0,0
7471,7471,216726,31892,0.0,0.0,1914.0,95.0,0.0,0
2388,2388,63044,63047,3.8565601097579503,10.0,220.0,21.0,0.0,1
7626,7626,50671,98152,3.0833900542185004,6.0,161.0,24.0,0.0,1
8968,8968,72896,31892,0.0,0.0,462.0,73.0,0.0,0
887,887,242809,31892,0.0,0.0,1056.0,82.0,0.0,0
