,Unnamed: 0,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label
935,935,146954,31892,0.0,0.0,594.0,75.0,0.0,0
2935,2935,40568,54842,3.46085210137613,9.0,1530.0,94.0,0.0,1
249,249,45527,45533,5.16977122296397,14.0,225.0,16.0,1.0,1
2210,2210,45329,45332,2.50029449836555,7.0,144.0,19.0,0.0,1
905,905,140496,31892,0.0,0.0,660.0,76.0,0.0,0
737,737,55968,55969,2.16404256133344,3.0,44.0,12.0,0.0,1
2098,2098,32968,32973,5.32434022085387,15.0,256.0,17.0,0.0,1
1767,1767,106235,31891,0.0,0.0,75.0,28.0,0.0,0
1618,1618,175362,31891,0.0,0.0,33.0,14.0,0.0,0
665,665,41319,51214,0.0,0.0,270.0,33.0,0.0,1
3282,3282,57361,31891,0.0,0.0,108.0,39.0,0.0,0
87,87,38447,31891,0.23868315209103,1.0,1095.0,367.0,0.0,0
35,35,56446,56458,4.96108937090724,15.0,416.0,27.0,0.0,1
962,962,41785,41791,3.3662884287409103,7.0,64.0,9.0,0.0,1
3114,3114,95286,31892,0.169494474237384,1.0,1320.0,85.0,0.0,0
1697,1697,180263,31892,0.239556115747019,1.0,1188.0,83.0,0.0,0
974,974,74338,31892,0.169494474237384,1.0,1848.0,93.0,0.0,0
2107,2107,42285,54297,3.3159589756542003,11.0,1536.0,129.0,0.0,1
1568,1568,73099,31891,0.0,0.0,18.0,9.0,0.0,0
3075,3075,209291,31892,0.294014103795206,1.0,726.0,76.0,0.0,0
1771,1771,269893,31891,0.267546386419054,1.0,45.0,17.0,0.0,0
2999,2999,37650,37657,2.51105596593884,5.0,36.0,7.0,0.0,1
880,880,45735,45736,3.955978724013241,10.0,121.0,12.0,0.0,1
493,493,54847,54848,3.56423385347065,10.0,121.0,12.0,0.0,1
253,253,72900,31892,1.09480540890609,4.0,1848.0,90.0,0.0,0
3169,3169,55008,55015,4.37669844163951,12.0,247.0,20.0,0.0,1
2347,2347,46610,46614,4.36729378016627,8.0,81.0,10.0,1.0,1
2252,2252,47944,48211,3.68990243499519,10.0,704.0,65.0,0.0,1
3179,3179,43018,31892,0.169494474237384,1.0,594.0,74.0,0.0,0
3209,3209,277183,31891,0.23868315209103,1.0,6.0,4.0,0.0,0
3357,3357,54935,54936,1.2291682155306398,2.0,9.0,4.0,1.0,1
2260,2260,36129,36131,1.82047845325367,2.0,9.0,4.0,1.0,1
2797,2797,73097,31891,0.0,0.0,18.0,9.0,0.0,0
2622,2622,47544,47545,2.7905531327562403,5.0,36.0,7.0,0.0,1
3078,3078,229098,31892,0.0,0.0,1188.0,84.0,0.0,0
2041,2041,221731,31891,0.0,0.0,24.0,11.0,0.0,0
3289,3289,56543,56546,1.63308878441726,3.0,16.0,5.0,1.0,1
1312,1312,38008,38013,4.67845494301536,12.0,169.0,14.0,0.0,1
657,657,72972,31892,0.0,0.0,990.0,81.0,0.0,0
3064,3064,55153,55157,4.0567045983605,10.0,121.0,12.0,0.0,1
938,938,42868,42871,7.25731535758832,24.0,625.0,26.0,0.0,1
2635,2635,42872,42881,7.25731535758832,24.0,625.0,26.0,0.0,1
3206,3206,35814,45084,1.93537577236199,5.0,4284.0,176.0,0.0,1
2742,2742,42252,47125,4.1279491695677,12.0,845.0,66.0,0.0,1
1142,1142,43391,43394,3.05039005881174,6.0,329.0,48.0,0.0,1
298,298,118980,31892,0.0,0.0,66.0,67.0,0.0,0
1712,1712,50871,50876,3.65310895255785,10.0,847.0,78.0,0.0,1
2954,2954,47771,49896,3.65201300675065,13.0,1350.0,64.0,0.0,1
1911,1911,46088,46090,3.78750621142713,11.0,594.0,38.0,0.0,1
1454,1454,41785,41787,3.3662884287409103,7.0,64.0,9.0,0.0,1
3338,3338,33193,31892,0.169494474237384,1.0,2376.0,101.0,0.0,0
3259,3259,253828,31892,0.0,0.0,264.0,70.0,0.0,0
356,356,41999,31892,0.0,0.0,4026.0,127.0,0.0,0
2186,2186,37517,37519,4.2201009553334,11.0,144.0,13.0,0.0,1
169,169,54831,31892,0.169494474237384,1.0,4620.0,135.0,0.0,0
1610,1610,129901,31892,0.169494474237384,1.0,924.0,79.0,0.0,0
1859,1859,106116,31891,0.506229538510084,2.0,105.0,36.0,0.0,0
448,448,43148,49969,13.8357594080861,39.0,3480.0,88.0,0.0,1
824,824,178786,31892,0.169494474237384,1.0,2376.0,101.0,0.0,0
3038,3038,239193,31892,0.0,0.0,726.0,77.0,0.0,0
3063,3063,41221,31892,0.0,0.0,1650.0,91.0,0.0,0
1056,1056,72301,31891,0.0,0.0,147.0,52.0,0.0,0
776,776,161638,31892,0.0,0.0,1782.0,93.0,0.0,0
2529,2529,51441,51444,3.95606699959198,10.0,121.0,12.0,0.0,1
1388,1388,239634,31892,0.169494474237384,1.0,660.0,75.0,0.0,0
1753,1753,106239,31892,0.233075271708509,1.0,2442.0,102.0,0.0,0
1382,1382,79630,31892,0.0,0.0,1848.0,94.0,0.0,0
2951,2951,48484,48486,2.00080566744021,3.0,16.0,5.0,1.0,1
2017,2017,43075,43955,1.44269504088896,1.0,448.0,43.0,0.0,1
2304,2304,42079,42502,3.1148880972372206,8.0,1890.0,211.0,0.0,1
873,873,270463,31892,0.0,0.0,528.0,74.0,0.0,0
223,223,50633,50641,3.25650950557227,9.0,100.0,11.0,1.0,1
1239,1239,42874,42879,7.32568395434345,24.0,1550.0,63.0,0.0,1
2042,2042,65562,31892,0.0,0.0,858.0,79.0,0.0,0
1715,1715,49120,49121,0.6213349345596121,1.0,8.0,5.0,0.577639751552795,1
2816,2816,205842,31891,0.0,0.0,18.0,9.0,0.0,0
2602,2602,41932,51132,4.84273482243327,15.0,644.0,36.0,0.0,1
3211,3211,164162,31892,0.169494474237384,1.0,726.0,76.0,0.0,0
1333,1333,196078,31891,0.0,0.0,198.0,69.0,0.0,0
1370,1370,48898,48906,3.00378619375201,6.0,49.0,8.0,0.0,1
2416,2416,56384,56386,2.78023034306858,9.0,170.0,18.0,0.0,1
2844,2844,45484,45560,3.3052234044781805,7.0,128.0,17.0,0.0,1
833,833,43015,31892,0.169494474237384,1.0,594.0,74.0,0.0,0
268,268,204984,31891,0.23868315209103,1.0,9.0,5.0,0.0,0
3059,3059,38157,38159,4.15089991748027,11.0,144.0,13.0,0.0,1
2931,2931,48525,31892,0.477584555383948,2.0,1452.0,86.0,0.0,0
2678,2678,41833,52886,4.37902136931184,13.0,1716.0,79.0,0.0,1
240,240,237550,31892,0.0,0.0,924.0,80.0,0.0,0
1628,1628,46159,49129,6.059704558549909,16.0,3780.0,185.0,0.0,1
3352,3352,150619,31892,0.0,0.0,2310.0,101.0,0.0,0
718,718,37514,37515,4.38496980404069,11.0,540.0,37.0,0.0,1
730,730,55303,31892,0.0,0.0,2178.0,99.0,0.0,0
1146,1146,55890,31892,0.169494474237384,1.0,1518.0,88.0,0.0,0
183,183,54828,54833,4.990881315759482,17.0,324.0,19.0,0.0,1
2490,2490,55586,55589,1.82047845325367,2.0,24.0,9.0,0.0,1
3180,3180,46633,46641,2.5236491824249505,5.0,384.0,65.0,0.0,1
1441,1441,53138,53141,3.11041392173346,9.0,760.0,77.0,0.0,1
227,227,210624,31892,0.0,0.0,660.0,76.0,0.0,0
1321,1321,58575,31892,0.0,0.0,924.0,80.0,0.0,0
782,782,236342,31892,0.169494474237384,1.0,792.0,77.0,0.0,0
1294,1294,51357,51359,1.44269504088896,1.0,4.0,3.0,1.0,1
2,2,37747,37750,3.64095690650735,8.0,99.0,12.0,0.0,1
2393,2393,45661,31892,0.0,0.0,660.0,76.0,0.0,0
1789,1789,46499,46501,3.0833900542185004,6.0,49.0,8.0,1.0,1
2023,2023,46684,46686,4.84717980877983,13.0,490.0,36.0,0.0,1
1230,1230,118081,31892,0.169494474237384,1.0,4422.0,132.0,0.0,0
24,24,141162,31891,0.0,0.0,39.0,16.0,0.0,0
399,399,54819,54822,7.928830785568839,26.0,729.0,28.0,1.0,1
502,502,50668,50677,4.701139586886679,13.0,952.0,69.0,0.0,1
539,539,36979,31892,1.09480540890609,4.0,1848.0,90.0,0.0,0
400,400,77624,31892,0.0,0.0,660.0,76.0,0.0,0
3082,3082,49431,49433,1.9678273033653,5.0,240.0,41.0,0.0,1
1214,1214,106235,31892,0.233075271708509,1.0,1650.0,90.0,0.0,0
1478,1478,43073,43075,5.640528431066952,11.0,192.0,17.0,0.0,1
1896,1896,49411,49414,3.3662884287409103,7.0,64.0,9.0,0.0,1
681,681,104014,31891,0.0,0.0,24.0,11.0,0.0,0
1182,1182,101859,31892,0.0,0.0,2574.0,105.0,0.0,0
2830,2830,37223,37224,2.48533973823845,4.0,25.0,6.0,0.0,1
827,827,57359,31891,0.0,0.0,84.0,31.0,0.0,0
2150,2150,40937,40938,2.48533973823845,4.0,25.0,6.0,0.0,1
210,210,233923,31892,0.0,0.0,528.0,74.0,0.0,0
389,389,54618,54620,3.7628948634038095,9.0,100.0,11.0,0.0,1
2048,2048,130504,31892,0.0,0.0,396.0,72.0,0.0,0
1143,1143,45968,45975,4.2154592019202415,12.0,169.0,14.0,0.0,1
383,383,236341,31891,0.0,0.0,36.0,15.0,0.0,0
898,898,46677,46681,4.74952304115261,13.0,196.0,15.0,0.0,1
3326,3326,38116,38120,2.48533973823845,4.0,25.0,6.0,1.0,1
1908,1908,53154,53156,1.44269504088896,1.0,4.0,3.0,1.0,1
242,242,67696,31892,0.0,0.0,4356.0,132.0,0.0,0
3371,3371,44779,44781,2.16404256133344,3.0,144.0,37.0,0.0,1
2268,2268,237931,31891,0.0,0.0,24.0,11.0,0.0,0
497,497,171315,31891,0.0,0.0,36.0,15.0,0.0,0
3410,3410,134750,31892,0.0,0.0,594.0,75.0,0.0,0
3344,3344,66033,31892,1.6213178847786498,6.0,1386.0,81.0,0.0,0
398,398,98321,31892,0.0,0.0,2772.0,108.0,0.0,0
1736,1736,51339,51341,2.25153822337638,5.0,84.0,15.0,0.0,1
3018,3018,41663,41666,2.16404256133344,3.0,16.0,5.0,1.0,1
2281,2281,46682,46692,4.74952304115261,13.0,196.0,15.0,0.0,1
1391,1391,38004,38014,4.67845494301536,12.0,169.0,14.0,0.0,1
1193,1193,52922,52923,2.7463408485747403,5.0,36.0,7.0,0.0,1
1200,1200,47046,47048,2.50735008394748,5.0,144.0,25.0,0.0,1
2374,2374,45528,45541,5.16977122296397,14.0,225.0,16.0,0.0,1
1066,1066,229101,31892,0.0,0.0,858.0,79.0,0.0,0
3238,3238,157788,31892,0.0,0.0,2640.0,106.0,0.0,0
1284,1284,173784,31891,0.0,0.0,123.0,44.0,0.0,0
2782,2782,56128,56134,4.27146009179523,13.0,714.0,52.0,0.0,1
2279,2279,106223,31891,0.0,0.0,135.0,48.0,0.0,0
3387,3387,43018,31891,0.0,0.0,27.0,12.0,0.0,0
259,259,138939,31892,0.0,0.0,924.0,80.0,0.0,0
2423,2423,154463,31892,0.0,0.0,1188.0,84.0,0.0,0
1442,1442,44515,44517,2.92774537421667,6.0,49.0,8.0,0.0,1
1048,1048,50981,50991,3.7132880922858704,10.0,209.0,20.0,0.0,1
1638,1638,54000,31892,0.0,0.0,4026.0,127.0,0.0,0
1563,1563,53382,53383,22.7277623220866,52.0,4399.0,84.0,0.6947592067988672,1
1195,1195,95288,31891,0.0,0.0,51.0,20.0,0.0,0
248,248,106223,31892,0.233075271708509,1.0,2970.0,110.0,0.0,0
413,413,56162,56165,1.98165902827075,4.0,155.0,32.0,0.0,1
3012,3012,47591,47599,2.93016547207099,6.0,49.0,8.0,1.0,1
2739,2739,54501,54502,4.474255952780191,14.0,435.0,30.0,0.0,1
2878,2878,38000,38016,4.67845494301536,12.0,169.0,14.0,1.0,1
2619,2619,60804,31892,0.477584555383948,2.0,1650.0,89.0,0.0,0
2246,2246,104011,31891,0.267546386419054,1.0,54.0,20.0,0.0,0
1083,1083,53262,53264,2.48533973823845,4.0,115.0,24.0,0.0,1
2103,2103,209513,31892,0.169494474237384,1.0,924.0,79.0,0.0,0
1394,1394,122277,31892,0.0,0.0,132.0,68.0,0.0,0
1655,1655,269893,31892,1.09480540890609,4.0,990.0,77.0,0.0,0
3097,3097,38940,38950,3.31968456368118,7.0,152.0,20.0,0.0,1
1260,1260,47117,47125,3.97763404006343,12.0,169.0,14.0,0.0,1
603,603,194301,31892,0.0,0.0,924.0,80.0,0.0,0
1906,1906,153069,31891,0.0,0.0,78.0,29.0,0.0,0
