,Unnamed: 0,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label
165,165,92360,92370,5.87635207576488,19.0,400.0,21.0,0.0,1
4141,4141,225036,31892,0.0,0.0,858.0,79.0,0.0,0
7899,7899,43293,84061,1.49526527424284,3.0,132.0,34.0,0.0,1
8324,8324,55881,78874,3.22368378945068,10.0,552.0,37.0,0.0,1
8696,8696,196074,31891,0.0,0.0,198.0,69.0,0.0,0
5000,5000,155984,31891,0.0,0.0,15.0,8.0,0.0,0
993,993,186785,31929,0.3692693730688549,1.0,374.0,44.0,0.0,0
7368,7368,36240,36242,1.4941285868276497,3.0,44.0,12.0,0.0,1
2545,2545,160343,31892,0.0,0.0,1122.0,83.0,0.0,0
3667,3667,67152,67156,2.48533973823845,4.0,25.0,6.0,0.0,1
1530,1530,66038,31891,0.506229538510084,2.0,105.0,36.0,0.0,0
7569,7569,155985,31892,0.169494474237384,1.0,330.0,70.0,0.0,0
3456,3456,77139,77144,3.838099254493621,10.0,121.0,12.0,0.0,1
6438,6438,106234,31892,0.233075271708509,1.0,1650.0,90.0,0.0,0
4594,4594,216732,31892,0.0,0.0,1914.0,95.0,0.0,0
7151,7151,134752,31892,0.0,0.0,1452.0,88.0,0.0,0
5967,5967,88739,88745,8.52640901006098,29.0,900.0,31.0,0.0,1
2631,2631,66034,31891,0.267546386419054,1.0,63.0,23.0,0.0,0
8640,8640,279559,31907,0.0,0.0,95.0,24.0,0.0,0
6696,6696,79867,79871,4.08071260878052,11.0,144.0,13.0,0.0,1
1882,1882,41373,41376,3.09349873794039,8.0,675.0,76.0,0.0,1
5936,5936,256285,31892,0.0,0.0,528.0,74.0,0.0,0
8479,8479,176387,31891,0.23868315209103,1.0,36.0,14.0,0.0,0
1774,1774,38286,31892,0.169494474237384,1.0,4422.0,132.0,0.0,0
3048,3048,80808,31892,0.0,0.0,1848.0,94.0,0.0,0
4326,4326,83320,31892,1.09480540890609,4.0,990.0,77.0,0.0,0
7312,7312,59458,59464,2.82555707160968,7.0,144.0,19.0,0.0,1
4774,4774,35541,49701,1.89781465420238,3.0,2760.0,106.0,0.0,1
4132,4132,62915,31907,0.259730302172272,1.0,475.0,43.0,0.0,0
2205,2205,54829,31892,0.0,0.0,1188.0,84.0,0.0,0
860,860,92203,92208,3.90188635930222,10.0,275.0,26.0,0.0,1
1827,1827,37741,37745,3.6028696846181805,8.0,81.0,10.0,0.0,1
1524,1524,62026,62038,3.4181757867680496,8.0,117.0,14.0,0.0,1
8406,8406,241719,31892,0.0,0.0,660.0,76.0,0.0,0
665,665,79331,79334,2.00080566744021,3.0,16.0,5.0,0.0,1
6463,6463,72178,72303,6.21079063023418,20.0,441.0,22.0,0.0,1
4583,4583,201140,31892,0.30010162850041305,1.0,528.0,73.0,0.0,0
2847,2847,46359,46361,1.82047845325367,2.0,9.0,4.0,0.0,1
1677,1677,266999,32275,0.0,0.0,144.0,25.0,0.0,0
3983,3983,84280,84288,4.8410127192360095,15.0,320.0,21.0,0.0,1
1921,1921,151679,32275,0.0,0.0,352.0,38.0,0.0,0
7665,7665,65099,91641,2.1609790080522098,4.0,481.0,46.0,0.0,1
530,530,79091,79093,1.96401738956371,3.0,24.0,7.0,0.0,1
3294,3294,134451,31892,0.0,0.0,858.0,79.0,0.0,0
7303,7303,65257,65258,1.72869470839164,3.0,16.0,5.0,0.0,1
1918,1918,57163,57167,3.3662884287409103,7.0,64.0,9.0,0.0,1
7464,7464,46902,60701,4.58523376405811,14.0,2430.0,163.0,0.0,1
7300,7300,195030,31892,0.169494474237384,1.0,528.0,73.0,0.0,0
1868,1868,117465,32126,0.345976256261194,1.0,80.0,17.0,0.0,0
6685,6685,104456,31892,0.0,0.0,1452.0,88.0,0.0,0
3454,3454,52900,52903,3.16896857382926,7.0,64.0,9.0,0.0,1
8732,8732,33055,33056,0.32845873875305104,1.0,4.0,3.0,1.0,1
5152,5152,55451,71005,4.182073535744149,13.0,784.0,57.0,0.0,1
1290,1290,65234,80811,6.80520737040097,24.0,6175.0,248.0,0.0,1
3570,3570,69569,69571,4.9838369162411915,14.0,270.0,19.0,0.0,1
4985,4985,60899,32123,0.434294481903252,1.0,1314.0,90.0,0.0,0
7693,7693,118082,31891,0.0,0.0,84.0,31.0,0.0,0
7373,7373,224964,31892,0.0,0.0,858.0,79.0,0.0,0
2785,2785,107284,32275,0.0,0.0,192.0,28.0,0.0,0
3451,3451,185691,31892,0.0,0.0,2574.0,105.0,0.0,0
1440,1440,195025,31892,0.169494474237384,1.0,528.0,73.0,0.0,0
2138,2138,73317,73321,4.10241792676478,13.0,826.0,60.0,0.0,1
5960,5960,66933,71277,1.70616520359445,4.0,580.0,64.0,0.0,1
2821,2821,46770,47242,4.54977295432831,12.0,377.0,30.0,0.636111111111111,1
2144,2144,264616,31892,0.0,0.0,660.0,76.0,0.0,0
1445,1445,92588,92594,6.33368887685296,20.0,441.0,22.0,0.0,1
5377,5377,65231,31892,0.169494474237384,1.0,2970.0,110.0,0.0,0
635,635,256967,31907,0.0,0.0,133.0,26.0,0.0,0
7413,7413,40012,40917,2.50695010813412,8.0,2380.0,96.0,0.0,1
4611,4611,261292,31892,0.169494474237384,1.0,330.0,70.0,0.0,0
1355,1355,253039,31892,0.0,0.0,462.0,73.0,0.0,0
707,707,106225,31891,0.0,0.0,111.0,40.0,0.0,0
8006,8006,74485,74487,2.16404256133344,3.0,16.0,5.0,0.0,1
5118,5118,117461,32131,0.345976256261194,1.0,48.0,13.0,0.0,0
7609,7609,244431,31942,0.5905061684814681,2.0,92.0,25.0,0.0,0
913,913,57840,74271,0.8982991458106829,4.0,1020.0,67.0,0.0,1
