,Unnamed: 0,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label
2823,2823,37881,62822,2.47104844175363,7.0,408.0,52.0,0.0,1
1679,1679,58599,58601,3.0047190802714403,6.0,112.0,17.0,0.0,1
2370,2370,59459,59460,2.69063498090789,7.0,64.0,9.0,0.0,1
2371,2371,46409,49447,17.746603538602,79.0,12240.0,154.0,0.0,1
4359,4359,122645,31892,0.0,0.0,4026.0,127.0,0.0,0
4178,4178,94526,31892,0.0,0.0,1584.0,90.0,0.0,0
50,50,164159,31891,0.0,0.0,81.0,30.0,0.0,0
4930,4930,57026,31891,0.0,0.0,309.0,106.0,0.0,0
2277,2277,64166,64172,5.35273184279595,16.0,289.0,18.0,0.0,1
1514,1514,50446,50448,2.22467856390108,4.0,25.0,6.0,0.0,1
472,472,45739,45742,4.02703485917629,10.0,198.0,19.0,0.0,1
130,130,58427,58430,2.25590010898389,4.0,25.0,6.0,0.0,1
3542,3542,203047,31892,0.0,0.0,2376.0,102.0,0.0,0
2866,2866,182956,31892,0.0,0.0,594.0,75.0,0.0,0
1023,1023,164476,31892,0.0,0.0,792.0,78.0,0.0,0
2308,2308,55303,55306,3.0833900542185004,6.0,231.0,34.0,0.0,1
2726,2726,51334,51338,2.3444617375636603,5.0,198.0,34.0,0.0,1
312,312,49079,49080,10.416760198294599,28.0,1711.0,60.0,0.422797089733226,1
162,162,266427,31892,0.0,0.0,660.0,76.0,0.0,0
229,229,98325,31892,0.0,0.0,4884.0,140.0,0.0,0
1815,1815,101316,31892,0.0,0.0,1320.0,86.0,0.0,0
3807,3807,274238,31891,0.0,0.0,57.0,22.0,0.0,0
1178,1178,196078,31891,0.0,0.0,198.0,69.0,0.0,0
124,124,46790,46792,1.07973370086422,2.0,9.0,4.0,1.0,1
519,519,191363,31892,0.0,0.0,1254.0,85.0,0.0,0
3197,3197,55370,55372,3.0833900542185004,6.0,49.0,8.0,0.0,1
2072,2072,169581,31892,0.0,0.0,990.0,81.0,0.0,0
5122,5122,42603,42607,3.34524852951811,8.0,81.0,10.0,0.0,1
2112,2112,203071,31892,0.0,0.0,2376.0,102.0,0.0,0
